"runId","processingRound","relName","relId","scoreDuringRun","rankingDuringRun","runFoundPredictor","relationshipCorrectPredictions","relationshipIncorrectPredictions","relationshipMadeAllCorrectPredictions","usedToMakeFinalPrediction","label_notNullRowsInTable","label_uniqueRowsInTable","label_numRowsInTable","label_nullRowsInTable","label_numAncestorAtts","label_depth","label_guessedType","label_isDuplicate","label_isAlmostDuplicate","label_bestTargetAttRowsCovered","label_bestPercentageOfTargetAttCovered","label_bestTargetAttTotalLength","label_bestTargetAttRows","label_bestAimForScore","label_totalLength","label_firstRowLength","label_averageRowLength","label_numParents","label_generatedByConstantCreator","label_bestCoveringRows","label_bestCoveringPercentageAvg","label_inputToRelationships","label_RRAToRelationships","label_datatableAttsUsedInRelationships","label_datatableAttsUsedAsRRAsInRelationships","rra_notNullRowsInTable","rra_uniqueRowsInTable","rra_numRowsInTable","rra_nullRowsInTable","rra_numAncestorAtts","rra_depth","rra_guessedType","rra_isDuplicate","rra_isAlmostDuplicate","rra_bestTargetAttRowsCovered","rra_bestPercentageOfTargetAttCovered","rra_bestTargetAttTotalLength","rra_bestTargetAttRows","rra_bestAimForScore","rra_totalLength","rra_firstRowLength","rra_averageRowLength","rra_numParents","rra_generatedByConstantCreator","rra_bestCoveringRows","rra_bestCoveringPercentageAvg","rra_inputToRelationships","rra_RRAToRelationships","rra_datatableAttsUsedInRelationships","rra_datatableAttsUsedAsRRAsInRelationships","firstInput_notNullRowsInTable","firstInput_uniqueRowsInTable","firstInput_numRowsInTable","firstInput_nullRowsInTable","firstInput_numAncestorAtts","firstInput_depth","firstInput_guessedType","firstInput_isDuplicate","firstInput_isAlmostDuplicate","firstInput_bestTargetAttRowsCovered","firstInput_bestPercentageOfTargetAttCovered","firstInput_bestTargetAttTotalLength","firstInput_bestTargetAttRows","firstInput_bestAimForScore","firstInput_totalLength","firstInput_firstRowLength","firstInput_averageRowLength","firstInput_numParents","firstInput_generatedByConstantCreator","firstInput_bestCoveringRows","firstInput_bestCoveringPercentageAvg","firstInput_inputToRelationships","firstInput_RRAToRelationships","firstInput_datatableAttsUsedInRelationships","firstInput_datatableAttsUsedAsRRAsInRelationships"
"testdata/facebook pages access_tokens to SQL/trainIn.dattestdata/facebook pages access_tokens to SQL/trainOut.dat2014-08-22 13:34:19","3","WekaLinearRegressionIntegerLearner
Correct Training Predictions: 0 / 0
Label:SplitOnString ToRows-0(SplitOnString'ToRows-1(SplitOnString\nToRows-1(getInputFromFile()))) (t1606_0.1)
From:notProcessor(notProcessor(jsonDecodeList-0(getInputFromFile()))) (t1522_1.52) 

","-2147399287",NULL,NULL,"1","0","0","0","0","30","4","30","0","4","9",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","30","10","30","0","4","9",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","3","2","3","0","4","9",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","11","1","0"
"testdata/datereformat/trainIn.dattestdata/datereformat/trainOut.dat2014-08-22 13:13:02","1","FindReplaceLearnerSinglePass
Correct Training Predictions: 0 / 0
Label:SplitOnString\n2014-ToRows-0(getInputFromFile()) (t748_0.1)
From:getInputFromFile() (t739_0.2) 

","-2147398023",NULL,NULL,"1","0","0","0","0","7","7","7","0","2","5",,"0","1","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","7","7","7","0","2","5",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","1","1","1","0","1","3",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","1","-1","-1","0","0","0","0"
"testdata/datereformat/trainIn.dattestdata/datereformat/trainOut.dat2014-08-22 13:13:02","2","FindReplaceLearnerSinglePass
Correct Training Predictions: 0 / 0
Label:SplitOnString\n2014-ToRows-0(getInputFromFile()) (t748_0.1)
From:getInputFromFile() (t739_0.2) 

","-2147398023",NULL,NULL,"1","0","0","0","0","7","7","7","0","2","5",,"0","1","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","7","7","7","0","2","5",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","2","4","2","0","1","1","1","0","1","3",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","1","-1","-1","0","0","0","0"
"testdata/listOfGoTEpsTable-series1.htmtestdata/listOfGoTEpNamesNumbers-json-series1.json2014-08-22 13:17:07","2","WekaLinearRegressionLearner
Correct Training Predictions: 0 / 0
Label:JsonDecodeMapManyColsAndKeysOutSingleRow-1(jsonDecodeList-1(getInputFromFile())) (t1056_0.4)
From:capitalise(getInputFromFile()) (t1032_1.29) 

","-2147391049",NULL,NULL,"1","0","0","0","0","10","10","10","0","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","10","1","11","1","3","7",,"0","1","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","1","1","1","0","2","5",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0"
"testdata/flightquest-testflights-first10.jsontestdata/flightquest-testflights-first10-runwayDepartureAndArrival.csv2014-08-22 13:25:33","3","MostCommonValueLearner
Correct Training Predictions: 0 / 0
Label:SplitOnString-1ToColumns-2(SplitOnString\nToRows-1(getInputFromFile())) (t1333_0.8)
From:JsonDecodeMapManyColsOut-6(jsonDecodeList-1(capitalise(getInputFromFile()))) (t1347_0.9) 

","-2147386730",NULL,NULL,"1","0","0","0","0","9","9","9","0","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","9","9","9","0","3","7",,"0","1","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","1","16","1","0","9","6","9","0","4","9",,"0","1","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","8","1","0"
"testdata/facebook pages access_tokens to SQL/trainIn.dattestdata/facebook pages access_tokens to SQL/trainOut.dat2014-08-22 13:34:19","3","RMKNNLearner
Correct Training Predictions: 0 / 0
Label:SplitOnString'ToRows-1(SplitOnString;ToRows-1(getInputFromFile())) (t1562_0.2)
From:htmlText(getInputFromFile()) (t1520_1.15) 

","-2147385755",NULL,NULL,"1","0","0","0","0","15","10","15","0","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","15","5","15","0","4","9",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","1","1","1","0","2","5",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0"
"testdata/facebook pages access_tokens to SQL/trainIn.dattestdata/facebook pages access_tokens to SQL/trainOut.dat2014-08-22 13:34:19","2","MostCommonValueLearner
Correct Training Predictions: 0 / 0
Label:SplitOnString ToColumns-4(SplitOnString\nToRows-1(getInputFromFile())) (t1529_0.8)
From:total(SplitOnString ToRows-0(getInputFromFile())) (t1520_1.20) 

","-2147380223",NULL,NULL,"1","0","0","0","0","3","1","3","0","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","3","3","3","0","3","7",,"0","1","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","1","1","1","0","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0"
"testdata/flightquest-testflights-first10.jsontestdata/flightquest-testflights-first10-runwayDepartureAndArrival.csv2014-08-22 13:25:33","3","FindReplaceLearnerSinglePass
Correct Training Predictions: 0 / 0
Label:SplitOnString-1ToColumns-2(SplitEndsToColumns-1(SplitOnString\nToRows-1(getInputFromFile()))) (t1333_1.45)
From:JsonDecodeMapManyColsOut-5(jsonDecodeList-1(capitalise(getInputFromFile()))) (t1347_0.8) 

","-2147378327",NULL,NULL,"1","0","0","0","0","9","9","9","0","4","9",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","9","9","9","0","3","7",,"0","1","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","1","16","1","0","9","8","9","0","4","9",,"0","1","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","8","1","0"
"testdata/school holidays - keep with Y not N/trainIn.dattestdata/school holidays - keep with Y not N/trainOut.dat2014-08-22 13:10:18","3","RMLinearRegressionLearner
Correct Training Predictions: 0 / 0
Label:SplitOnString/ToRows-0(SplitOnString\nToRows-1(getInputFromFile())) (t399_0.1)
From:SplitOnString/201ToColumns-0(ReadCSVToTable-1(getInputFromFile())) (t373_1.22) 

","-2147374354",NULL,NULL,"1","0","0","0","0","12","3","12","0","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","12","3","12","0","4","9",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","7","7","7","0","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","6","5","0"
"testdata/school holidays - keep with Y not N/trainIn.dattestdata/school holidays - keep with Y not N/trainOut.dat2014-08-22 13:10:18","2","MostCommonValueLearner
Correct Training Predictions: 0 / 0
Label:SplitOnString/201ToColumns-0(SplitOnString\nToRows-1(getInputFromFile())) (t379_0.8)
From:stringLength(ReadCSVToTable-0(getInputFromFile())) (t373_1.17) 

","-2147366911",NULL,NULL,"1","0","0","0","0","4","4","4","0","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","4","1","7","3","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","7","1","7","0","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0"
"testdata/school holidays - keep with Y not N/trainIn.dattestdata/school holidays - keep with Y not N/trainOut.dat2014-08-22 13:10:18","3","MostCommonValueLearner
Correct Training Predictions: 0 / 0
Label:SplitOnString/201ToColumns-0(SplitOnString\nToRows-1(getInputFromFile())) (t379_0.8)
From:stringLength(ReadCSVToTable-0(getInputFromFile())) (t373_1.17) 

","-2147366911",NULL,NULL,"1","0","0","0","0","4","4","4","0","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","4","1","7","3","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","12","5","0","7","1","7","0","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","6","5","0"
"testdata/listOfGoTEpsTable-series1.htmtestdata/listOfGoTEpNamesNumbers-json-series1.json2014-08-22 13:17:07","2","BestColumnLearner
Correct Training Predictions: 0 / 0
Label:JsonDecodeMapManyColsAndKeysOutSingleRow-2(jsonDecodeList-1(getInputFromFile())) (t1056_0.5)
From:
","-2147359285",NULL,NULL,"1","0","0","0","0","10","1","10","0","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","10","1","17","7","3","7",,"0","1","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"testdata/listOfGoTEpsTable-series1.htmtestdata/listOfGoTEpNamesNumbers-json-series1.json2014-08-22 13:17:07","2","MostCommonValueLearner
Correct Training Predictions: 0 / 0
Label:SplitOnString\r\nToRows-0(jsonDecodeList-1(getInputFromFile())) (t1056_0.7)
From:HtmlXPathSelector#cite_ref-13-1(getInputFromFile()) (t1032_0.10) 

","-2147353386",NULL,NULL,"1","0","0","0","0","10","1","10","0","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","10","10","10","0","2","5",,"0","1","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","1","2","1","0","1","1","1","0","2","5",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0"
"testdata/flightquest-testflights-first10.jsontestdata/flightquest-testflights-first10-runwayDepartureAndArrival.csv2014-08-22 13:25:33","3","WekaLinearRegressionLearner
Correct Training Predictions: 0 / 0
Label:SplitOnString ToRows-0(SplitOnString:ToRows-1(SplitOnString\nToRows-1(getInputFromFile()))) (t1413_0.1)
From:ReadCSVToTable-3(SplitEndsToColumns-1(jsonDecodeList-1(getInputFromFile()))) (t1326_1.87) 

","-2147339078",NULL,NULL,"1","0","0","0","0","81","2","81","0","4","9",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","81","9","81","0","4","9",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","9","1","9","0","4","9",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","9","2","0"
"testdata/bathnes-recycling-stats-table-copypaste-first5lines.txttestdata/bathnes-recycling-first5lines-2012-13 numbers.txt2014-08-22 13:09:04","2","ZeroLearner
Correct Training Predictions: 0 / 0
Label:SplitOnString\nToRows-1(getInputFromFile()) (t167_0.2)
From:ReadCSVToTable-1(htmlText(getInputFromFile())) (t158_1.26) 

","-2147332220",NULL,NULL,"1","0","0","0","0","5","5","5","0","2","5",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","5","3","5","0","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","1","1","1","0","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0"
"testdata/facebook pages access_tokens to SQL/trainIn.dattestdata/facebook pages access_tokens to SQL/trainOut.dat2014-08-22 13:34:19","3","RMKNNLearner
Correct Training Predictions: 0 / 0
Label:SplitOnString ToRows-1(SplitOnStringE ToRows-1(SplitOnString\nToRows-1(getInputFromFile()))) (t1607_0.2)
From:firstCharacter(jsonDecodeMap-1(jsonDecodeList-1(getInputFromFile()))) (t1539_0.6) 

","-2147321145",NULL,NULL,"1","0","0","0","0","18","10","18","0","4","9",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","18","6","18","0","4","9",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","15","2","15","0","4","9",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0"
"testdata/listOfGoTEpsTable-series1.htmtestdata/listOfGoTEpNames-json-series1.json2014-08-22 13:14:50","2","MostCommonValueLearner
Correct Training Predictions: 0 / 0
Label:jsonDecodeList-0(getInputFromFile()) (t997_0.1)
From:Strpos\r(getInputFromFile()) (t973_1.38) 

","-2147319855",NULL,NULL,"1","0","0","0","0","10","10","10","0","2","5",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","10","10","60","50","3","7",,"0","1","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","1","1","1","0","2","5",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0"
"testdata/facebook pages access_tokens to SQL/trainIn.dattestdata/facebook pages access_tokens to SQL/trainOut.dat2014-08-22 13:34:19","3","MostCommonValueLearner
Correct Training Predictions: 0 / 0
Label:SplitEndsToColumns-0(SplitOnString ToColumns-3(SplitOnString\nToRows-1(getInputFromFile()))) (t1529_1.23)
From:Strposa(getInputFromFile()) (t1520_1.12) 

","-2147312915",NULL,NULL,"1","0","0","0","0","3","1","3","0","4","9",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","3","3","3","0","2","5",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","1","22","1","0","1","1","1","0","2","5",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0"
"testdata/flightquest-testflights-first10.csvtestdata/flightquest-testflights-first10-first3cols-withheader.csv2014-08-22 13:09:11","2","MostCommonValueLearner
Correct Training Predictions: 0 / 0
Label:SplitOnString,ToColumns-1(SplitOnString\nToRows-1(getInputFromFile())) (t202_0.5)
From:total(ReadCSVToTable-0(getInputFromFile())) (t194_1.18) 

","-2147312622",NULL,NULL,"1","0","0","0","0","10","9","10","0","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","10","10","10","0","2","5",,"0","1","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","1","2","1","0","1","1","1","0","3","7",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0"
"testdata/flightquest-testflights-first10.csvtestdata/flightquest-testflights-first10-first3cols-withheader.csv2014-08-22 13:09:11","1","ZeroLearner
Correct Training Predictions: 0 / 0
Label:SplitOnString\nToRows-1(getInputFromFile()) (t202_0.2)
From:AlphabetLetters(getInputFromFile()) (t194_0.8) 

","-2147306816",NULL,NULL,"1","0","0","0","0","10","10","10","0","2","5",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","10","10","10","0","2","5",,"0","1","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0","1","1","1","0","2","5",,"0","0","-1","-1","-1","-1","-1","0","-1","-1","1","0","-1","-1","0","0","0","0"
